,Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH,AG_diff,AG_pc,AG_diff_pc,AI_diff,AI_pc,AI_diff_pc,AR_diff,AR_pc,AR_diff_pc,BE_diff,BE_pc,BE_diff_pc,BL_diff,BL_pc,BL_diff_pc,BS_diff,BS_pc,BS_diff_pc,FR_diff,FR_pc,FR_diff_pc,GE_diff,GE_pc,GE_diff_pc,GL_diff,GL_pc,GL_diff_pc,GR_diff,GR_pc,GR_diff_pc,JU_diff,JU_pc,JU_diff_pc,LU_diff,LU_pc,LU_diff_pc,NE_diff,NE_pc,NE_diff_pc,NW_diff,NW_pc,NW_diff_pc,OW_diff,OW_pc,OW_diff_pc,SG_diff,SG_pc,SG_diff_pc,SH_diff,SH_pc,SH_diff_pc,SO_diff,SO_pc,SO_diff_pc,SZ_diff,SZ_pc,SZ_diff_pc,TG_diff,TG_pc,TG_diff_pc,TI_diff,TI_pc,TI_diff_pc,UR_diff,UR_pc,UR_diff_pc,VD_diff,VD_pc,VD_diff_pc,VS_diff,VS_pc,VS_diff_pc,ZG_diff,ZG_pc,ZG_diff_pc,ZH_diff,ZH_pc,ZH_diff_pc,CH_diff,CH_pc,CH_diff_pc
76,2020-05-11,1166.0,25.0,98.0,1835.0,873.0,970.0,1135.0,5282.0,127.0,820.0,197.0,694.0,714.0,117.0,79.0,786.0,78.0,420.0,306.0,374.0,3268.0,92.0,5385.0,1884.0,193.0,3527.0,30445.0,4.0,0.0017192391113627,5.897904327144957e-06,0.0,0.0015484670176525,0.0,1.0,0.0017742694717022,1.81047905275736e-05,3.0,0.001772986259598,2.898615138307421e-06,0.0,0.0030298613135646,0.0,2.0,0.0049803353768111,1.0268732735693088e-05,3.0,0.0035611865183205,9.412827801728195e-06,5.0,0.0106653420804484,1.0095931541507403e-05,1.0,0.0031433309407717,2.475063732891122e-05,0.0,0.0041335020339854,0.0,0.0,0.0026832291368719,0.0,1.0,0.001694513828356,2.4416625768818503e-06,2.0,0.004012047380369,1.1238227956215864e-05,2.0,0.0027068921638942,4.627166092126877e-05,0.0,0.0020876826722338,0.0,1.0,0.0015481675093608,1.9696787650902013e-06,0.0,0.0009513239257967,0.0,13.0,0.0015373690491006,4.758523247216264e-05,0.0,0.0019225332202431,0.0,0.0,0.001352759049741,0.0,3.0,0.0092488035704683,8.49033375501991e-06,0.0,0.0025251832130211,0.0,7.0,0.006738451720276,8.759361567675453e-06,4.0,0.0054774607143376,1.1629428268232763e-05,0.0,0.0015216380078368,0.0,5.0,0.0023189179522514,3.2873801421200185e-06,57.0,0.0035643997887936,6.673371258375374e-06
77,2020-05-12,1168.0,25.0,98.0,1840.0,874.0,970.0,1144.0,5292.0,127.0,821.0,197.0,695.0,716.0,118.0,79.0,786.0,78.0,421.0,306.0,374.0,3268.0,92.0,5395.0,1884.0,194.0,3529.0,30491.0,2.0,0.0017221880635263,2.9489521635724785e-06,0.0,0.0015484670176525,0.0,0.0,0.0017742694717022,0.0,5.0,0.0017778172848285,4.831025230512369e-06,1.0,0.0030333319450807,3.4706315161106715e-06,0.0,0.0049803353768111,0.0,9.0,0.0035894250017256,2.8238483405184584e-05,10.0,0.0106855339435314,2.0191863083014807e-05,0.0,0.0031433309407717,0.0,1.0,0.0041385428901244,5.040856139006649e-06,0.0,0.0026832291368719,0.0,1.0,0.0016969554909328,2.4416625768818503e-06,2.0,0.0040232856083252,1.1238227956215864e-05,1.0,0.0027300279943548,2.3135830460634384e-05,0.0,0.0020876826722338,0.0,0.0,0.0015481675093608,0.0,0.0,0.0009513239257967,0.0,1.0,0.0015410294515984,3.6604024978586646e-06,0.0,0.0019225332202431,0.0,0.0,0.001352759049741,0.0,0.0,0.0092488035704683,0.0,0.0,0.0025251832130211,0.0,10.0,0.0067509650939441,1.251337366810779e-05,0.0,0.0054774607143376,0.0,1.0,0.0015295221425924,7.884134755631242e-06,2.0,0.0023202329043083,1.3149520568480073e-06,46.0,0.0035697853164758,5.38552768219767e-06
78,2020-05-13,1173.0,,,1843.0,874.0,970.0,1147.0,5296.0,127.0,822.0,197.0,,716.0,120.0,79.0,787.0,78.0,423.0,306.0,376.0,3272.0,92.0,5404.0,1885.0,195.0,3535.0,30535.0,5.0,0.0017295604439352,7.372380408931197e-06,,0.0015484670176525,,,0.0017742694717022,,3.0,0.0017807158999668,2.898615138307421e-06,0.0,0.0030333319450807,0.0,0.0,0.0049803353768111,0.0,3.0,0.0035988378295274,9.412827801728195e-06,4.0,0.0106936106887646,8.076745233205922e-06,0.0,0.0031433309407717,0.0,1.0,0.0041435837462634,5.040856139006649e-06,0.0,0.0026832291368719,0.0,,0.0016969554909328,,0.0,0.0040232856083252,0.0,2.0,0.0027762996552761,4.627166092126877e-05,0.0,0.0020876826722338,0.0,1.0,0.0015501371881259,1.9696787650902013e-06,0.0,0.0009513239257967,0.0,2.0,0.0015483502565942,7.320804995717329e-06,0.0,0.0019225332202431,0.0,2.0,0.0013599930553546,7.234005613588356e-06,4.0,0.009260124015475,1.1320445006693213e-05,0.0,0.0025251832130211,0.0,9.0,0.0067622271302454,1.126203630129701e-05,1.0,0.0054803680714046,2.907357067058191e-06,1.0,0.001537406277348,7.884134755631242e-06,6.0,0.0023241777604788,3.944856170544022e-06,44.0,0.0035749366907805,5.151374304710815e-06
79,2020-05-14,1177.0,25.0,,1847.0,874.0,971.0,1149.0,5303.0,128.0,823.0,197.0,697.0,716.0,122.0,79.0,787.0,78.0,425.0,307.0,377.0,3272.0,92.0,5409.0,1887.0,197.0,3540.0,30577.0,4.0,0.0017354583482624,5.897904327144957e-06,0.0,0.0015484670176525,0.0,,0.0017742694717022,,4.0,0.0017845807201512,3.864820184409895e-06,0.0,0.0030333319450807,0.0,1.0,0.0049854697431789,5.134366367846544e-06,2.0,0.0036051130480618,6.275218534485464e-06,7.0,0.0107077449929227,1.4134304158110364e-05,1.0,0.0031680815781006,2.475063732891122e-05,1.0,0.0041486246024024,5.040856139006649e-06,0.0,0.0026832291368719,0.0,2.0,0.0017018388160866,4.8833251537637006e-06,0.0,0.0040232856083252,0.0,2.0,0.0028225713161973,4.627166092126877e-05,0.0,0.0020876826722338,0.0,0.0,0.0015501371881259,0.0,0.0,0.0009513239257967,0.0,2.0,0.0015556710615899,7.320804995717329e-06,1.0,0.0019288160085445,6.282788301448183e-06,1.0,0.0013636100581614,3.617002806794178e-06,0.0,0.009260124015475,0.0,0.0,0.0025251832130211,0.0,5.0,0.0067684838170795,6.256686834053895e-06,2.0,0.0054861827855388,5.814714134116382e-06,2.0,0.0015531745468593,1.5768269511262485e-05,5.0,0.0023274651406209,3.2873801421200185e-06,42.0,0.0035798539117077,4.917220927223959e-06
80,2020-05-15,1181.0,,99.0,1852.0,874.0,972.0,1151.0,5308.0,128.0,823.0,197.0,701.0,716.0,122.0,79.0,787.0,78.0,427.0,307.0,377.0,3279.0,,5413.0,1896.0,198.0,3542.0,30624.0,4.0,0.0017413562525895,5.897904327144957e-06,,0.0015484670176525,,1.0,0.0017923742622297,1.81047905275736e-05,5.0,0.0017894117453817,4.831025230512369e-06,0.0,0.0030333319450807,0.0,1.0,0.0049906041095468,5.134366367846544e-06,2.0,0.0036113882665963,6.275218534485464e-06,5.0,0.0107178409244642,1.0095931541507403e-05,0.0,0.0031680815781006,0.0,0.0,0.0041486246024024,0.0,0.0,0.0026832291368719,0.0,4.0,0.0017116054663941,9.7666503075274e-06,0.0,0.0040232856083252,0.0,0.0,0.0028225713161973,0.0,0.0,0.0020876826722338,0.0,0.0,0.0015501371881259,0.0,0.0,0.0009513239257967,0.0,2.0,0.0015629918665856,7.320804995717329e-06,0.0,0.0019288160085445,0.0,0.0,0.0013636100581614,0.0,7.0,0.0092799347942367,1.9810778761713124e-05,,0.0025251832130211,,4.0,0.0067734891665467,5.005349467243116e-06,9.0,0.0055123489991423,2.616621360352372e-05,1.0,0.0015610586816149,7.884134755631242e-06,2.0,0.0023287800926778,1.3149520568480073e-06,47.0,0.0035853565160787,5.502604370941098e-06
81,2020-05-16,1183.0,25.0,,1860.0,875.0,974.0,1152.0,5310.0,,823.0,197.0,704.0,716.0,123.0,79.0,788.0,78.0,,307.0,377.0,3280.0,93.0,5413.0,1899.0,199.0,3547.0,30656.0,2.0,0.0017443052047531,2.9489521635724785e-06,0.0,0.0015484670176525,0.0,,0.0017923742622297,,8.0,0.0017971413857506,7.72964036881979e-06,1.0,0.0030368025765968,3.4706315161106715e-06,2.0,0.0050008728422825,1.0268732735693088e-05,1.0,0.0036145258758636,3.137609267242732e-06,2.0,0.0107218792970808,4.038372616602961e-06,,0.0031680815781006,,0.0,0.0041486246024024,0.0,0.0,0.0026832291368719,0.0,3.0,0.0017189304541248,7.324987730645551e-06,0.0,0.0040232856083252,0.0,1.0,0.002845707146658,2.3135830460634384e-05,0.0,0.0020876826722338,0.0,1.0,0.001552106866891,1.9696787650902013e-06,0.0,0.0009513239257967,0.0,,0.0015629918665856,,0.0,0.0019288160085445,0.0,0.0,0.0013636100581614,0.0,1.0,0.0092827649054884,2.830111251673303e-06,1.0,0.0025526308566409,2.744764361979524e-05,0.0,0.0067734891665467,0.0,3.0,0.0055210710703435,8.722071201174572e-06,1.0,0.0015689428163706,7.884134755631242e-06,5.0,0.0023320674728199,3.2873801421200185e-06,32.0,0.0035891029701185,3.746454039789684e-06
82,2020-05-17,1186.0,,,1860.0,875.0,974.0,1153.0,5311.0,,823.0,197.0,705.0,718.0,123.0,79.0,788.0,78.0,,307.0,377.0,3284.0,93.0,5415.0,1899.0,199.0,3549.0,30672.0,3.0,0.0017487286329984,4.423428245358718e-06,,0.0015484670176525,,,0.0017923742622297,,0.0,0.0017971413857506,0.0,0.0,0.0030368025765968,0.0,0.0,0.0050008728422825,0.0,1.0,0.0036176634851308,3.137609267242732e-06,1.0,0.0107238984833891,2.0191863083014806e-06,,0.0031680815781006,,0.0,0.0041486246024024,0.0,0.0,0.0026832291368719,0.0,1.0,0.0017213721167017,2.4416625768818503e-06,2.0,0.0040345238362814,1.1238227956215864e-05,0.0,0.002845707146658,0.0,0.0,0.0020876826722338,0.0,0.0,0.001552106866891,0.0,0.0,0.0009513239257967,0.0,,0.0015629918665856,,0.0,0.0019288160085445,0.0,0.0,0.0013636100581614,0.0,4.0,0.0092940853504951,1.1320445006693213e-05,0.0,0.0025526308566409,0.0,2.0,0.0067759918412803,2.502674733621558e-06,0.0,0.0055210710703435,0.0,0.0,0.0015689428163706,0.0,2.0,0.0023333824248767,1.3149520568480073e-06,16.0,0.0035909761971384,1.8732270198948416e-06
83,2020-05-18,1188.0,,99.0,1863.0,875.0,974.0,1153.0,5312.0,128.0,824.0,197.0,707.0,719.0,123.0,79.0,789.0,78.0,432.0,307.0,377.0,3285.0,93.0,5419.0,1901.0,199.0,3553.0,30699.0,2.0,0.001751677585162,2.9489521635724785e-06,,0.0015484670176525,,0.0,0.0017923742622297,0.0,3.0,0.0018000400008889,2.898615138307421e-06,0.0,0.0030368025765968,0.0,0.0,0.0050008728422825,0.0,0.0,0.0036176634851308,0.0,1.0,0.0107259176696974,2.0191863083014806e-06,0.0,0.0031680815781006,0.0,1.0,0.0041536654585414,5.040856139006649e-06,0.0,0.0026832291368719,0.0,2.0,0.0017262554418554,4.8833251537637006e-06,1.0,0.0040401429502596,5.619113978107932e-06,0.0,0.002845707146658,0.0,0.0,0.0020876826722338,0.0,1.0,0.0015540765456561,1.9696787650902013e-06,0.0,0.0009513239257967,0.0,5.0,0.0015812938790749,1.8302012489293323e-05,0.0,0.0019288160085445,0.0,0.0,0.0013636100581614,0.0,1.0,0.0092969154617468,2.830111251673303e-06,0.0,0.0025526308566409,0.0,4.0,0.0067809971907476,5.005349467243116e-06,2.0,0.0055268857844776,5.814714134116382e-06,0.0,0.0015689428163706,0.0,4.0,0.0023360123289904,2.6299041136960146e-06,27.0,0.0035941372677344,3.1610705960725456e-06
84,2020-05-19,1195.0,,,1865.0,875.0,975.0,1153.0,5314.0,128.0,824.0,198.0,711.0,721.0,123.0,80.0,789.0,78.0,434.0,307.0,377.0,3285.0,93.0,5423.0,1902.0,199.0,3557.0,30730.0,7.0,0.0017619989177345,1.0321332572503675e-05,,0.0015484670176525,,,0.0017923742622297,,2.0,0.0018019724109811,1.9324100922049478e-06,0.0,0.0030368025765968,0.0,1.0,0.0050060072086503,5.134366367846544e-06,0.0,0.0036176634851308,0.0,2.0,0.010729956042314,4.038372616602961e-06,0.0,0.0031680815781006,0.0,0.0,0.0041536654585414,0.0,1.0,0.0026968495893433,1.36204524714311e-05,4.0,0.0017360220921629,9.7666503075274e-06,2.0,0.0040513811782158,1.1238227956215864e-05,0.0,0.002845707146658,0.0,1.0,0.0021141090351734,2.642636293966861e-05,0.0,0.0015540765456561,0.0,0.0,0.0009513239257967,0.0,2.0,0.0015886146840706,7.320804995717329e-06,0.0,0.0019288160085445,0.0,0.0,0.0013636100581614,0.0,0.0,0.0092969154617468,0.0,0.0,0.0025526308566409,0.0,4.0,0.0067860025402148,5.005349467243116e-06,1.0,0.0055297931415446,2.907357067058191e-06,0.0,0.0015689428163706,0.0,4.0,0.0023386422331041,2.6299041136960146e-06,31.0,0.0035977666450855,3.629377351046256e-06
85,2020-05-20,1196.0,25.0,99.0,1867.0,875.0,976.0,1158.0,5321.0,128.0,825.0,198.0,714.0,723.0,123.0,82.0,789.0,78.0,436.0,307.0,377.0,3287.0,93.0,5427.0,1902.0,199.0,3561.0,30766.0,1.0,0.0017634733938163,1.4744760817862393e-06,0.0,0.0015484670176525,0.0,0.0,0.0017923742622297,0.0,2.0,0.0018039048210733,1.9324100922049478e-06,0.0,0.0030368025765968,0.0,1.0,0.0050111415750182,5.134366367846544e-06,5.0,0.003633351531467,1.5688046336213657e-05,7.0,0.0107440903464721,1.4134304158110364e-05,0.0,0.0031680815781006,0.0,1.0,0.0041587063146804,5.040856139006649e-06,0.0,0.0026968495893433,0.0,3.0,0.0017433470798936,7.324987730645551e-06,2.0,0.004062619406172,1.1238227956215864e-05,0.0,0.002845707146658,0.0,2.0,0.0021669617610528,5.285272587933723e-05,0.0,0.0015540765456561,0.0,0.0,0.0009513239257967,0.0,2.0,0.0015959354890663,7.320804995717329e-06,0.0,0.0019288160085445,0.0,0.0,0.0013636100581614,0.0,2.0,0.0093025756842501,5.660222503346606e-06,0.0,0.0025526308566409,0.0,4.0,0.006791007889682,5.005349467243116e-06,0.0,0.0055297931415446,0.0,0.0,0.0015689428163706,0.0,4.0,0.0023412721372178,2.6299041136960146e-06,36.0,0.0036019814058802,4.214760794763394e-06
