,time,cases,fitted
0,2020.1530054644809,6.0,456.14369780437005
1,2020.155737704918,11.0,512.1632702493785
2,2020.1584699453551,16.0,575.2877342463786
3,2020.1612021857923,26.0,646.4035694081301
4,2020.1639344262296,39.0,726.5004916142477
5,2020.1666666666667,47.0,816.6811726593193
6,2020.1693989071039,66.0,918.1711769169385
7,2020.172131147541,80.0,1032.328875766433
8,2020.1748633879781,110.0,1160.6550118034575
9,2020.1775956284152,156.0,1304.8014760777812
10,2020.1803278688524,233.0,1466.5787317482486
11,2020.1830601092897,297.0,1647.9611659985726
12,2020.1857923497269,346.0,1851.089480288596
13,2020.188524590164,445.0,2078.2690421410452
14,2020.191256830601,605.0,2331.9629272996353
15,2020.1939890710382,847.0,2614.778195987931
16,2020.1967213114754,1165.0,2929.443791781192
17,2020.1994535519125,1501.0,3278.7783594097555
18,2020.2021857923498,1921.0,3665.646290708677
19,2020.204918032787,2227.0,4092.900479337268
20,2020.207650273224,3055.0,4563.310659446164
21,2020.2103825136612,3832.0,5079.476888453116
22,2020.2131147540983,4920.0,5643.728784694489
23,2020.2158469945355,5992.0,6258.012608731032
24,2020.2185792349726,7227.0,6923.770242921635
25,2020.22131147541,8177.0,7641.816639204597
26,2020.224043715847,8712.0,8412.22549656382
27,2020.2267759562842,9924.0,9234.237177463101
28,2020.2295081967213,11048.0,10106.209354961025
29,2020.2322404371585,12184.0,11025.643346996796
30,2020.2349726775956,13252.0,11989.350186297452
31,2020.2377049180327,14627.0,12993.920371803233
32,2020.24043715847,15456.0,14037.097674084449
33,2020.2431693989072,16062.0,15124.142106686908
34,2020.2459016393443,17111.0,16278.114050068401
35,2020.2486338797814,18104.0,17357.838775396427
36,2020.2513661202186,19171.0,18395.871492844515
37,2020.2540983606557,20237.0,19395.305813932242
38,2020.2568306010928,21219.0,20353.559025321687
39,2020.25956284153,21805.0,21267.20346104497
40,2020.2622950819673,22237.0,22133.12965144068
41,2020.2650273224044,22931.0,22948.954612818954
42,2020.2677595628415,23610.0,23713.161995953684
43,2020.2704918032787,24275.0,24425.114943816916
44,2020.2732240437158,24897.0,25084.999115992592
45,2020.275956284153,25335.0,25693.726417470287
46,2020.27868852459,25786.0,26252.818782941176
47,2020.2814207650274,26036.0,26764.285333058717
48,2020.2841530054645,26277.0,27230.502163964517
49,2020.2868852459017,26623.0,27654.100949394888
50,2020.2896174863388,26932.0,28037.870100465585
51,2020.292349726776,27243.0,28384.670336112144
